review_case_id,case_type,module_id,module_code,module_title,top_rank_changed,module_departments,module_colleges,review_instruction,m2_h_staff_id,m2_h_full_name,m2_h_position,m2_h_department_name,m2_h_college_name,m2_h_semantic_score,m2_h_final_score,m2_h_shared_topic_count,m2_h_top_shared_topics,m2_h_graph_support_score,m2_h_explanation_text,m3_kg_staff_id,m3_kg_full_name,m3_kg_position,m3_kg_department_name,m3_kg_college_name,m3_kg_semantic_score,m3_kg_final_score,m3_kg_shared_topic_count,m3_kg_top_shared_topics,m3_kg_graph_support_score,m3_kg_explanation_text,m2_h_relevance_rating_1_to_5,m3_kg_relevance_rating_1_to_5,m3_kg_explanation_quality_1_to_5,preferred_system,preferred_system_options,reviewer_comments
CASE-01,changed_top_rank,module_0066d2008c0dacc6,BB27AAMOLECULARANDCELLULARBIOLOGYWITHDEVELOPMENTALANDSTEMCELLBIOLOGY,BB27aa - Molecular and Cellular Biology with Developmental and Stem Cell Biology,True,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,alessandro-esposito,Dr Alessandro Esposito,Lecturer in Biosciences (Epigenetics),Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.430635,0.430635,,,,,victor-hernandez,Dr Victor Hernandez,Senior Lecturer in Biomedical Sciences,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.430331,0.504265,3,"biology, molecular, cell biology",0.8,"Shared topic evidence: biology, molecular, cell biology; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-02,changed_top_rank,module_4b860de250c9b958,BB5606,BB5606 - Molecular Medicine,True,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,michael-themis,Professor Michael Themis,Professor - Gene Therapy and Genotoxicity,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.397638,0.397638,,,,,christian-rudolph,Dr Christian Rudolph,Reader,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.38179,0.445432,2,"molecular, cell biology",0.7,"Shared topic evidence: molecular, cell biology; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-03,changed_top_rank,module_f679fb0c92356396,BRAIN&COGNITION,Brain & Cognition,True,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,julio-rodriguezlarios,Dr Julio Rodriguez Larios,Lecturer in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.399763,0.399763,,,,,caroline-dibernardiluft,Dr Caroline Di Bernardi Luft,Head of Department - Psychology / Senior Lecturer in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.3861,0.44888,2,"brain, cognition",0.7,"Shared topic evidence: brain, cognition; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-04,changed_top_rank,module_e8fcff032df9e566,BRAINANDCOGNITION,Brain and Cognition,True,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,julio-rodriguezlarios,Dr Julio Rodriguez Larios,Lecturer in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.394757,0.394757,,,,,caroline-dibernardiluft,Dr Caroline Di Bernardi Luft,Head of Department - Psychology / Senior Lecturer in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.388375,0.4507,2,"brain, cognition",0.7,"Shared topic evidence: brain, cognition; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-05,changed_top_rank,module_90c63f569c1a3e98,EC1608,EC1608 - Mathematics for Economics and Finance,True,"Department of Economics, Finance and Accounting",Brunel Business School,Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,dilruba-karim,Miss Dilruba Karim,Senior Lecturer in Economics and Finance,"Economics, Finance and Accounting",Brunel Business School,0.353182,0.353182,,,,,menelaos-karanasos,Professor Menelaos Karanasos,Professor,"Economics, Finance and Accounting",Brunel Business School,0.328523,0.392818,3,"economics, finance, mathematics",0.65,"Shared topic evidence: economics, finance, mathematics; Same college match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-06,changed_top_rank,module_89e51717fbfe4e88,LX5673,LX5673 - Intellectual Property and New Technologies,True,"Brunel Law School, Department of Social and Political Sciences","College of Arts, Law and Social Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,asress-gikay,Dr Asress Gikay,"Senior Lecturer in AI, Disruptive Innovation and Law",Brunel Law School,"College of Arts, Law and Social Sciences",0.372633,0.372633,,,,,francesca-mazzi,Dr Francesca Mazzi,"Lecturer in AI, Innovation and Law",Brunel Law School,"College of Arts, Law and Social Sciences",0.361212,0.42897,2,"artificial intelligence, intellectual property",0.7,"Shared topic evidence: artificial intelligence, intellectual property; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-07,changed_top_rank,module_f81ad7afe7699c73,LX5673,LX5673 - Intellectual Property and New Technologies,True,Brunel Law School,"College of Arts, Law and Social Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,asress-gikay,Dr Asress Gikay,"Senior Lecturer in AI, Disruptive Innovation and Law",Brunel Law School,"College of Arts, Law and Social Sciences",0.372633,0.372633,,,,,francesca-mazzi,Dr Francesca Mazzi,"Lecturer in AI, Innovation and Law",Brunel Law School,"College of Arts, Law and Social Sciences",0.361212,0.42897,2,"artificial intelligence, intellectual property",0.7,"Shared topic evidence: artificial intelligence, intellectual property; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-08,changed_top_rank,module_703a9745f44523e7,MINDFULNESSNEUROSCIENCEANDCLINICALAPPLICATIONS,Mindfulness - Neuroscience and Clinical Applications,True,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,julio-rodriguezlarios,Dr Julio Rodriguez Larios,Lecturer in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.465768,0.465768,,,,,elena-antonova,Dr Elena Antonova,Reader in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.452773,0.502218,2,"neuroscience, brain function",0.7,"Shared topic evidence: neuroscience, brain function; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-09,changed_top_rank,module_891c3b38795abeb5,MINDFULNESSNEUROSCIENCEANDCLINICALAPPLICATIONS,Mindfulness - Neuroscience and Clinical Applications,True,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,julio-rodriguezlarios,Dr Julio Rodriguez Larios,Lecturer in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.465768,0.465768,,,,,elena-antonova,Dr Elena Antonova,Reader in Psychology,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.452773,0.502218,2,"neuroscience, brain function",0.7,"Shared topic evidence: neuroscience, brain function; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
CASE-10,changed_top_rank,module_29718669a91f653d,PHYSICALACTIVITYBEHAVIOURCHANGEANDPUBLICHEALTH,Physical Activity Behaviour Change and Public Health,True,Department of Life Sciences,"College of Health, Medicine and Life Sciences",Please compare the M2-H and M3-KG top recommendations for primary teaching suitability. Rate relevance and explanation quality. Focus on subject fit within the module hierarchy.,daniel-bailey,Dr Daniel Bailey,Reader - Sedentary Behaviour and Health,Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.500966,0.500966,,,,,louise-mansfield,Professor Louise Mansfield,"Vice Dean Research/Professor - Sport, Health and Exercise Sciences",Department of Life Sciences,"College of Health, Medicine and Life Sciences",0.484933,0.527946,2,"physical activity, public health",0.7,"Shared topic evidence: physical activity, public health; Same department match",,,,,"M2-H, M3-KG, Tie, Unsure",
