module_code,module_title,department,classification,m4_lead_name,m4_lead_score,m5_lead_name,m5_lead_score,lead_status,rank_shift,tradeoff_delta,policy_summary
ME5521,Renewable Energy Technologies,Department of Mechanical and Aerospace Engineering,taught_academic,Dr Ali Badiei,0.3804,Professor Harjit Singh,0.3737,DISPLACED_BY_QUOTA,1,0.0067,"Assigned Professor Harjit Singh (Rank #2, Relevance: 0.3737) under Institutional Workload Policy."
N/A,Cognitive Neuroscience,Department of Life Sciences,taught_academic,Dr Julio Rodriguez Larios,0.5074,Dr Julio Rodriguez Larios,0.5074,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Julio Rodriguez Larios assigned as Rank #1 subject expert (Relevance score: 0.5074).
BB27AA,Molecular and Cellular Biology with Developmental and Stem Cell Biology,Department of Life Sciences,taught_academic,Dr Victor Hernandez,0.5043,Dr Victor Hernandez,0.5043,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Victor Hernandez assigned as Rank #1 subject expert (Relevance score: 0.5043).
SA5639,"Migration, Citizenship and Identity","Department of Social Sciences, Media and Communications",taught_academic,Dr Katalin Halasz,0.4933,Dr Katalin Halasz,0.4933,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Katalin Halasz assigned as Rank #1 subject expert (Relevance score: 0.4933).
PY5616,Cognitive and Clinical Neuroscience: Core Topics,Department of Health Sciences,taught_academic,Dr Panagiota Smyrni,0.2746,Dr Andrew Siu,0.2017,DISPLACED_BY_QUOTA,4,0.0729,"Assigned Dr Andrew Siu (Rank #5, Relevance: 0.2017) under Institutional Workload Policy."
FM2634,World Cinemas,Department of Arts and Humanities,taught_academic,Dr Paul Moody,0.3404,Dr Paul Moody,0.3404,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Paul Moody assigned as Rank #1 subject expert (Relevance score: 0.3404).
N/A,Qualitative Research Methods,Department of Life Sciences,taught_academic,Dr Rebecca Hings,0.393,Dr Lora Adair,0.3431,DISPLACED_BY_QUOTA,4,0.0499,"Assigned Dr Lora Adair (Rank #5, Relevance: 0.3431) under Institutional Workload Policy."
N/A,Nursing Practice Module for Year 2 (Mental Health),Department of Health Sciences,taught_academic,Dr Carolyn Dunford,0.3673,Dr Mahsa Kheirollahzadeh,0.3487,DISPLACED_BY_QUOTA,4,0.0186,"Assigned Dr Mahsa Kheirollahzadeh (Rank #5, Relevance: 0.3487) under Institutional Workload Policy."
DM3802,Design Major Project - Research,Brunel Design School,independent_project_placement,Dr Busayawan Lam,0.3943,Dr Busayawan Lam,0.3943,EXEMPT,0,0.0,Exempt unit: 'Dr Busayawan Lam' assigned as academic supervisor / dissertation coordinator.
DM5533,Sustainable Design,Department of Life Sciences,taught_academic,Dr Sibylle Ermler,0.2378,Dr Sibylle Ermler,0.2378,RETAINED_OPTIMAL,0,0.0,Optimal primary allocation: Dr Sibylle Ermler assigned as Rank #1 subject expert (Relevance score: 0.2378).
